SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,10850 Kendall Dr #403,Miami,FL,33176,219000,2,2.0,KENDALL GATE CONDO,1242,,1974,46,176,451,Contingent,,,https://www.redfin.com/FL/Miami/10850-N-Kendall-Dr-33176/unit-403/home/43151737,MARMLS,A11143372,N,Y,25.6852687,-80.3696602
PAST SALE,February-10-2015,Condo/Co-op,8075 SW 107th Ave #117,Miami,FL,33173,220000,2,2.0,THE HORIZONS CONDO #7,965,,1981,46,228,380,Pending,,,https://www.redfin.com/FL/Miami/8075-SW-107th-Ave-33173/unit-117/home/43101234,MARMLS,A11142981,N,Y,25.6929665,-80.3652518
MLS Listing,,Single Family Residential,9885 SW 96th St,Miami,FL,33176,2799900,6,6.5,WEST CHERRY GROVE,4790,37509,2009,47,585,,Active,,,https://www.redfin.com/FL/Miami/9885-SW-96th-St-33176/home/43466968,MARMLS,A11137684,N,Y,25.6804577,-80.3550331
MLS Listing,,Condo/Co-op,8950 SW 74th Ct #1709,Miami,FL,33156,599000,0,,Miami,1367,,2009,48,438,727,Active,,,https://www.redfin.com/FL/Miami/8950-SW-74th-Ct-33156/unit-1709/home/171265209,NAPLESMLS,222000458,N,Y,25.687051,-80.3158267
PAST SALE,July-6-2018,Single Family Residential,9330 SW 104th St,Miami,FL,33176,1450000,4,4.0,Acre Home,3655,48787,1964,48,397,,Pending,,,https://www.redfin.com/FL/Miami/9330-SW-104th-St-33176/home/43157629,MARMLS,A11142439,N,Y,25.672801,-80.3458968
MLS Listing,,Condo/Co-op,7701 N Kendall Dr #222,Miami,FL,33156,199900,1,1.0,PARADISE AT DADELAND COND,648,,1965,49,308,161,Contingent,,,https://www.redfin.com/FL/Miami/7701-N-Kendall-Dr-33156/unit-222/home/177813571,MARMLS,A11142596,N,Y,25.6890355,-80.317786
PAST SALE,May-20-2014,Condo/Co-op,10381 N Kendall Dr Unit M5,Miami,FL,33176,219900,2,2.0,KENDALL ACRES CONDO BLDG,954,,1971,49,231,,Pending,,,https://www.redfin.com/FL/Miami/10381-N-Kendall-Dr-33176/unit-M5/home/43096434,MARMLS,A11142377,N,Y,25.6890162,-80.3613679
PAST SALE,,Condo/Co-op,8025 SW 107th Ave #118,Miami,FL,33173,275000,3,2.0,THE HORIZONS CONDO #2,1040,,1980,49,264,,Pending,,,https://www.redfin.com/FL/Miami/8025-SW-107th-Ave-33173/unit-118/home/43096576,MARMLS,A11142315,N,Y,25.6937593,-80.3621681
PAST SALE,June-10-1993,Condo/Co-op,10400 SW 108th Ave Unit A108,Miami,FL,33176,179817,1,1.5,THE TERRACES CONDO PH II,725,,1971,49,248,394,Pending,,,https://www.redfin.com/FL/Miami/10400-SW-108th-Ave-33176/unit-A108/home/43154751,MARMLS,A11142436,N,Y,25.671407,-80.3704322
MLS Listing,,Single Family Residential,11380 SW 118th St,Miami,FL,33176,599000,3,2.0,KILLIAN PINES 2ND ADDN,1692,7500,1977,49,354,,Contingent,,,https://www.redfin.com/FL/Miami/11380-SW-118th-St-33176/home/43153184,MARMLS,A11142222,N,Y,25.6581979,-80.3794137
